codigo_escola;codigo_escola_mec;nome_escola;distrito;bairro;municipio;diretoria;localizacao;cep;latitude;longitude;nivel_socioeconomico;tratamento_cmsp;tratamento_cmsp_periodo;tratamento_cmsp_intensidade;ano_primeiro_cmsp_real;g_cmsp;grupo_cmsp
914022;35914022;CARLOS CORREA MASCARO PROFESSOR;CASA BRANCA;CIDADE JARDIM I;CASA BRANCA;SAO JOAO DA BOA VISTA;Urbana;13700000;-21.77779961;-47.09442902;;0;;0;;0;nunca_tratada_cmsp
914034;35914034;JOAO APRILLANTI PREFEITO;VARZEA PAULISTA;VILA SANTA TEREZINHA;VARZEA PAULISTA;JUNDIAI;Urbana;13220055;-23.20877075;-46.84952164;;0;;0;;0;nunca_tratada_cmsp
914137;35914137;AUGUSTO MELEGA;PIRACICABA;CAMPESTRE;PIRACICABA;PIRACICABA;Rural;13401841;-22.80099869;-47.68459702;5,51;1;2020-05-27;34268373;2020;2021;tratada_cmsp
914174;35914174;JOANNA DI FELIPPE PROFESSORA;ESPIRITO SANTO DO PINHAL;AREA RURAL DE ESPIRITO SANTO DO PINHAL;ESPIRITO SANTO DO PINHAL;SAO JOAO DA BOA VISTA;Rural;13994899;-22.14194107;-46.7517662;;1;2020-05-28;28261028;2020;2021;tratada_cmsp
914198;35914198;AMELIA LOPES ANDERS PROFA;MARILIA;JARDIM SANTA ANTONIETA;MARILIA;MARILIA;Urbana;17512150;-22.1692009;-49.97180176;5,26;1;2020-05-27;123189228;2020;2021;tratada_cmsp
914265;35914265;ANGELINA LIA ROLFSEN PROFA;ARARAQUARA;DOUTOR TANCREDO DE ALMEIDA NEVES;ARARAQUARA;ARARAQUARA;Urbana;14808212;-21.83329964;-48.14719009;5,39;1;2020-05-27;75619784;2020;2021;tratada_cmsp
914290;35914290;LAURA DE MELLO FRANCO PROFA;FRANCA;JARDIM REDENTOR;FRANCA;FRANCA;Urbana;14409286;-20.50499916;-47.40000153;4,91;1;2020-05-27;49698856;2020;2021;tratada_cmsp
914307;35914307;SERGIO LECA TEIXEIRA PROF;FRANCA;JARDIM AEROPORTO III;FRANCA;FRANCA;Urbana;14404259;-20.59081078;-47.371521;4,98;1;2020-05-27;106860838;2020;2021;tratada_cmsp
914356;35914356;BASILIO RODRIGUES DA SILVA PROFESSOR;PONTAL;CONJUNTO JOSE PEDRO CAROLO;PONTAL;SERTAOZINHO;Urbana;14180000;-21.02050018;-48.04970169;5,16;1;2020-05-27;148052809;2020;2021;tratada_cmsp
914368;35914368;ARIOVALDO DA FONSECA PROF DR;IBITINGA;PAULO DE BIAZI;IBITINGA;TAQUARITINGA;Urbana;14945096;-21.77000999;-48.82659912;5,04;1;2020-05-27;42134677;2020;2021;tratada_cmsp
