id_btl_id,id_btl,ano_mes,t,mdip_total,mdip_pm_servico,mdip_pm_folga,mdip_pc,mdip_adolescente,mdip_negros,label_cmdo,data_pov_mes,fase_pov,g,tratado_mes,any_mdip_pm_servico,mdip_pre_media,any_mdip_pre_media,mdip_pre_tendencia
2,10ºBPM/M,2018-09-01,21,1,1,0,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-10-01,22,2,1,1,0,1,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-11-01,23,5,4,1,0,1,3,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-12-01,24,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-01-01,25,2,1,1,0,0,0,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-02-01,26,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-03-01,27,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-04-01,28,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-05-01,29,2,1,1,0,1,0,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-06-01,30,1,1,0,0,0,0,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-07-01,31,3,2,1,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-08-01,32,6,5,1,0,0,5,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-09-01,33,1,0,1,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-10-01,34,2,1,1,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-11-01,35,2,0,2,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2019-12-01,36,3,0,3,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-01-01,37,2,2,0,0,0,2,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-02-01,38,1,1,0,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-03-01,39,3,2,1,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-04-01,40,5,2,1,2,0,2,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-05-01,41,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-06-01,42,1,0,1,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-07-01,43,1,1,0,0,0,0,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-08-01,44,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-09-01,45,4,2,2,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-10-01,46,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-11-01,47,1,0,0,1,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2020-12-01,48,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2021-01-01,49,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2021-02-01,50,2,2,0,0,0,2,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2021-03-01,51,3,3,0,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2021-04-01,52,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2021-05-01,53,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
